Channel ID,Channel URL,Channel title
UCiWKxPMKUBFjN3Ny_VxpkYw,https://www.youtube.com/channel/UCiWKxPMKUBFjN3Ny_VxpkYw,Cordial Curiosity
UCBa659QWEk1AI4Tg--mrJ2A,https://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott
UCEOXxzW2vU0P-0THehuIIeg,https://www.youtube.com/channel/UCEOXxzW2vU0P-0THehuIIeg,Captain Disillusion
